rural,declarante,boasaude,lnrnd,escolar,fem,idade,cp,empr
0,1,1,1.183594358,8,0,20,0,0
0,1,1,1.876732448,9,0,31,0,0
0,1,1,2.474565358,11,1,21,0,0
0,0,1,1.371964144,3,1,29,0,0
0,0,1,0.982927703,2,0,28,0,0
0,1,1,0.354407926,5,1,26,0,0
0,1,0,1.088299329,4,1,44,0,0
0,0,1,1.558282126,4,0,48,1,0
0,0,1,1.558282126,8,0,25,0,0
0,1,1,0.998678838,10,1,21,0,0
0,0,1,1.618906012,11,0,31,0,0
0,1,1,0.90596444,8,1,36,0,0
0,0,1,0.682834221,0,0,22,1,0
0,1,1,1.818251246,9,1,26,0,0
0,1,0,1.088282663,4,0,32,0,0
0,0,1,1.088282663,8,0,25,0,0
0,1,1,1.088282663,11,0,18,0,0
0,0,1,1.242430962,7,0,28,0,0
0,1,1,2.474564903,11,0,42,0,0
0,1,1,1.740599516,11,1,40,1,0
0,1,1,1.047460669,6,1,35,0,0
0,1,1,1.558282126,11,0,25,0,0
0,1,1,1.27060422,11,1,21,0,0
1,1,1,2.186884952,15,0,35,0,0
1,0,0,-8.681690163,4,0,54,0,0
1,0,0,-9.087155271,7,1,50,0,0
1,1,1,1.350643082,1,0,51,0,0
1,1,0,0.719638958,4,1,49,0,0
1,0,1,0.982927703,3,0,69,0,0
1,1,1,1.270600887,3,0,54,1,0
1,0,1,1.375960569,1,0,43,0,0
1,1,0,-7.428927195,4,1,36,0,0
1,1,0,2.174460765,8,0,30,1,0
1,1,1,1.676074883,0,1,30,0,0
1,0,0,1.088285996,3,0,47,1,0
1,1,0,0.90596444,6,0,20,0,0
1,0,1,1.242430962,6,0,18,0,0
1,0,1,2.474564061,15,0,42,0,0
1,1,1,1.888783671,14,1,38,0,0
0,1,1,2.675240144,14,0,28,0,0
0,1,1,2.784721953,14,1,28,0,0
0,1,1,2.405571058,10,0,26,0,1
0,0,1,1.558282126,9,1,28,0,0
0,1,1,1.398434258,11,0,21,0,0
0,0,0,1.424752519,8,1,29,0,0
0,1,1,1.676074883,1,0,44,0,0
0,1,0,1.630606899,10,1,51,0,0
0,0,1,2.474565358,13,0,34,0,0
0,1,1,1.781423177,11,1,32,0,0
0,0,1,2.117892557,11,1,45,0,0
0,1,1,2.043785134,14,1,49,0,0
0,0,1,1.781423177,11,0,39,0,0
0,1,0,0.982927703,6,1,42,0,0
0,0,1,0.806650335,11,1,20,0,0
0,1,1,2.880028799,12,0,42,0,0
0,1,1,1.781423177,11,1,20,0,0
0,1,1,1.255335466,8,0,36,0,0
0,0,1,2.985390981,14,0,50,0,1
0,1,1,2.515386352,15,1,45,0,1
0,0,1,1.664890597,11,0,21,0,0
0,0,1,1.558282126,12,0,18,0,0
0,0,1,-8.345217927,9,1,16,0,0
0,0,1,1.088285996,4,0,74,1,0
0,0,1,2.000109521,5,0,28,0,0
0,1,1,0.865144667,11,1,26,0,0
0,1,1,1.003937079,8,0,28,0,0
0,1,1,0.897933773,9,1,33,0,0
0,1,1,1.20161509,4,0,29,0,0
0,1,1,0.785100571,8,1,25,0,0
0,0,0,1.781423177,3,0,35,0,0
0,1,1,1.845972531,6,1,31,0,0
0,0,0,0.806650335,6,0,27,0,0
0,0,0,-0.703293493,0,0,24,0,0
0,0,1,0.806650335,4,1,23,0,0
0,0,1,1.576627855,5,0,30,0,0
0,1,1,1.255335466,9,1,27,0,0
0,0,0,0.172041929,4,1,60,0,0
0,0,1,0.683868739,8,0,31,0,0
0,1,1,0.682817555,5,1,23,0,0
0,0,1,1.17529404,11,0,32,0,0
0,1,1,0.904362389,11,1,27,0,0
0,1,0,-1.619584224,0,1,67,0,0
0,0,1,1.845957948,8,0,29,0,0
0,0,1,0.769837265,6,0,29,0,0
0,1,1,0.970502961,8,1,23,0,0
0,1,0,-9.731512288,0,0,46,0,0
0,0,1,0.887617523,1,1,45,0,0
0,0,1,1.152821184,7,0,18,0,0
0,0,1,1.375960569,3,0,52,1,0
0,0,1,1.300455222,4,0,35,0,0
0,0,1,0.172015264,8,0,16,0,0
0,0,1,1.320610169,0,0,17,0,0
0,1,1,0.390700179,10,1,17,0,0
0,1,1,1.424752519,4,0,47,1,0
0,0,1,1.424752519,8,0,36,0,0
0,1,1,0.259069972,4,1,41,0,0
0,0,0,0.865155778,4,0,39,0,0
0,0,1,1.27060422,10,1,36,0,0
0,0,1,1.31939359,0,0,38,0,0
0,0,1,2.312047311,8,0,33,0,0
0,0,1,0.901960515,4,1,36,0,0
0,1,1,0.904367197,8,1,18,0,0
0,1,1,1.963743067,11,0,31,0,0
0,0,1,1.183594358,8,0,25,0,0
0,0,1,1.088285996,11,1,20,0,0
0,1,1,0.913936419,11,1,18,0,0
0,0,1,1.963743067,5,0,41,1,0
0,1,1,1.781441748,5,1,38,1,0
0,0,1,0.973999271,11,1,18,0,0
0,1,0,0.819683327,0,1,58,0,0
0,1,1,2.251421806,10,0,56,1,0
0,1,1,-9.954655839,8,1,41,0,0
0,0,1,1.047460669,9,0,17,0,0
0,1,0,0.982927703,7,0,56,0,0
0,0,1,0.970502961,0,0,30,0,0
0,1,1,2.292248801,4,0,46,1,0
0,0,0,0.952154655,4,1,30,0,0
0,0,1,1.781423177,11,0,45,0,0
0,1,0,2.069195245,8,1,34,1,0
0,1,1,1.404132835,8,0,25,0,0
0,1,1,0.901960515,11,1,28,0,0
0,1,1,0.806650335,0,0,59,0,0
0,0,1,0.806650335,11,1,26,0,0
0,1,1,1.462971946,15,0,44,1,0
0,1,1,1.781424288,11,1,40,0,0
0,0,1,1.444554866,8,0,38,0,0
0,1,0,1.350645646,11,0,28,0,0
0,1,0,0.992975817,8,1,22,0,0
0,0,0,0.970502961,6,0,65,0,0
0,0,1,1.088285996,11,1,31,0,0
0,1,0,0.913936419,4,1,30,0,0
0,0,1,0.354330154,0,0,40,1,0
0,1,1,1.004906127,3,1,34,0,0
0,1,1,0.992975817,9,0,22,0,0
0,0,1,1.580753593,6,0,21,0,0
0,0,1,1.311425548,9,0,19,0,0
0,1,1,1.963743067,5,0,27,0,0
0,1,1,2.043785134,11,0,37,0,0
0,0,1,2.697707909,15,1,38,0,0
0,0,1,2.569875083,10,0,23,0,0
0,1,1,1.404550103,11,0,23,0,0
0,0,1,0.960450807,13,1,23,0,0
0,0,1,1.065811322,0,0,49,0,0
0,0,0,1.165301109,5,1,26,1,0
0,0,1,0.784177479,8,0,17,0,0
0,0,1,0.784177479,6,0,16,0,0
0,0,1,1.335138574,5,0,21,0,0
0,1,1,0.720563438,11,1,19,0,0
0,0,1,2.736928468,11,0,22,0,0
0,0,0,1.424752519,6,0,55,0,0
0,0,1,0.901960515,7,1,52,0,0
0,0,1,1.003089299,7,0,26,0,0
0,1,1,1.193646512,11,1,25,1,0
0,0,0,1.452922999,5,0,37,0,0
0,1,1,0.995763036,3,1,36,0,0
0,1,0,0.901960515,8,0,65,0,0
0,1,1,0.901960515,0,1,59,0,0
0,1,1,1.088285996,7,0,56,1,0
0,0,1,1.580753593,8,0,24,0,0
0,1,1,1.462971946,10,0,20,0,0
0,1,1,1.212331979,11,0,27,0,0
0,1,1,1.790472022,11,0,31,0,0
0,0,1,1.088282663,11,1,25,0,0
0,0,1,0.75181376,4,0,42,0,0
0,1,0,0.784177479,4,1,37,0,0
0,1,1,2.425775194,11,0,29,0,0
0,0,1,0.788181404,11,1,24,0,0
0,1,0,1.558279626,4,0,48,1,0
0,1,1,1.27060422,4,0,33,0,0
0,1,1,1.118586271,7,1,32,0,0
0,0,1,1.558282126,2,0,37,0,0
0,0,0,0.887123091,11,1,27,0,0
0,1,0,1.676063773,5,0,44,0,0
0,1,0,1.17529404,4,1,42,0,0
0,0,1,1.255335466,8,0,18,0,0
0,0,1,0.982927703,8,0,16,0,0
0,1,1,1.387886521,6,0,27,0,0
0,1,1,1.27060422,10,1,21,0,0
0,1,0,2.697707909,11,0,39,0,0
0,0,1,2.216737131,11,0,43,0,0
0,0,1,1.963743067,11,0,45,0,0
0,1,1,2.369205398,14,1,40,0,0
0,1,0,1.781423177,8,0,22,1,0
0,1,1,1.270598664,5,0,28,0,0
0,1,1,0.982927703,5,1,35,0,0
0,1,1,1.781423177,4,0,36,1,0
0,1,1,0.719638958,3,1,33,0,0
0,1,0,1.820641583,11,0,36,0,0
0,0,0,-0.407771804,7,1,29,0,0
0,1,1,0.982927703,1,0,34,0,0
0,1,1,2.202632892,5,0,38,0,0
0,1,1,1.255335466,8,1,33,0,0
0,0,0,1.375958069,1,0,41,1,0
0,1,0,1.028342265,4,1,51,0,0
